Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
33	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	33398.203594	33377.321753	172613	54	65	190	0.96966	0.978988	0.733892	22.2142	389.26	2.06674	63	530.964417	531.266907	0.893272	0.893272	0.0122469
34	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	33674.480492	33653.447494	697237	58	93	579	0.918492	0.982057	0.730635	87.1944	374.97	2.5663	77	438.172668	438.505737	0.493768	0.493768	0.101321
35	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	34424.518565	34403.001867	733310	44	81	610	0.977825	0.997471	0.800533	321.006	3367.52	2.43994	57	604.762878	605.147400	0.914547	0.914547	0.00387666
36	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	35560.247260	35538.061760	306425	50	62	230	0.976137	0.990162	0.92383	26.1082	871.524	1.84715	55	647.357300	647.790161	0.927313	0.927313	0.000918274
37	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	35561.268133	35539.082634	358497	32	62	257	0.909838	0.991217	0.893268	21.9865	977.826	2.00143	55	647.357300	647.790161	0.573530	0.573530	0.0734301
38	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	37030.815657	37007.685625	610029	50	89	486	0.968513	0.996311	0.79527	127.403	2391.28	2.84991	69	537.526367	537.843201	0.898239	0.898239	0.0112135
39	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	1621.673376	1620.631817	821.674	2	2	2	0.916917	0.916917	1	17.774	17.774	0.48885	2	811.322754	811.824707	0.367364	0.367364	0.140204
40	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	20051.927460	20039.363727	41752.2	59	64	72	0.866655	0.965031	0.87722	1.84735	42.7386	3.41236	62	324.304657	324.592743	0.168448	0.168448	0.215676
41	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	20700.065982	20687.131670	180979	53	69	247	0.949578	0.997194	0.803271	35.8007	2359.38	2.4247	68	305.304138	305.554321	0.861656	0.861656	0.0170299
42	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	20776.993186	20763.998806	292702	41	61	348	0.974858	0.998022	0.83823	124.013	3358.08	1.93621	53	392.875427	393.196960	0.924669	0.924669	0.000918274
43	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22047.973596	22034.228915	249599	56	73	292	0.990868	0.997605	0.915897	334.185	2837.43	1.67775	71	311.418884	311.687256	0.940847	0.940847	0.000918274
44	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22048.969281	22035.224601	221087	56	72	271	0.98825	0.992519	0.894866	97.7558	901.472	1.55961	72	307.107697	307.386230	0.933940	0.933940	0.000918274
45	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22543.907464	22529.876778	244547	44	60	279	0.968141	0.983623	0.875598	23.8959	410.384	1.89258	50	451.745087	452.085693	0.887627	0.887627	0.0134075
46	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22751.471946	22737.245427	176751	63	76	247	0.991794	0.99853	0.949495	170.784	4716.14	1.44651	75	304.250641	304.504669	0.957760	0.957760	0
